id,date,timeofday,LON,LAT,"activity 1=not morving, 2=walking, 3=running, 4=biking, 6=skateboarding","direction 1=n, 2=s, 3=e, 4=w, 5=sw, 6=se, 7=nw, 8=ne","withmask 0=no, 1=yes","nomaskimpr 0=no mask or mask but incorrect, 1=mask and correct","maskreason 1=nose exposed, 2=nose and mouth exposed","maskother 1=exhalation valve or vent, 2=on forehead, 3=around neck, 4=touched mask, 5=<2 years of age, 6=in hand, 7=hanging on ear","socialdist 0=no, 1=yes","agegroup 1=<18, 2=18-30, 3=31-55, 4=>55","white 0=not white, 1=white","sex 1=male, 2=female","smoking 0= not smoking, 1=smoking","obese 0=not overweight/obese, 1=overweight/obese","touchsurface 0=no, 1=yes","surfacetype 1=trash can, 2=parking meter, 3=door handle, 4=railing, 5=auto, 6=building, 7=other, 8=bench, 9=phone, 11=tools, 12=table","Etiquette1 0=no hands to head, 1= hands to head"
5/20/1900,9/3/2020,112416,39.683108,-75.7499,2,6,0,0,0,0,1,3,1,1,0,0,0,0,0
5/21/1900,9/3/2020,112425,39.683222,-75.7499,2,4,1,1,0,0,1,2,1,2,0,1,0,0,0
5/22/1900,9/3/2020,112438,39.683331,-75.7506,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0
5/23/1900,9/3/2020,112438,39.683329,-75.7505,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0
5/24/1900,9/3/2020,112454,39.683325,-75.7508,1,0,1,0,2,3,0,2,1,2,0,1,0,0,0
5/25/1900,9/3/2020,112454,39.683326,-75.7508,1,0,1,0,2,3,0,2,1,2,0,0,0,0,0
5/26/1900,9/3/2020,112518,39.683107,-75.7515,1,0,1,1,0,0,0,3,0,2,0,1,0,0,0
5/27/1900,9/3/2020,112518,39.683112,-75.7516,1,0,1,1,0,0,0,3,0,1,0,0,0,0,0
5/28/1900,9/3/2020,112519,39.683234,-75.7515,2,3,1,1,0,0,1,2,1,2,0,0,0,0,0
5/29/1900,9/3/2020,112524,39.683065,-75.7518,2,3,1,1,0,0,1,2,1,2,0,1,0,0,0
5/30/1900,9/3/2020,112533,39.682984,-75.7521,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
5/31/1900,9/3/2020,112533,39.682979,-75.7522,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0
6/1/1900,9/3/2020,112533,39.682996,-75.7523,2,2,1,1,0,0,1,2,1,2,0,0,0,0,0
6/2/1900,9/3/2020,112546,39.683234,-75.7524,2,2,1,1,0,4,1,3,0,1,0,1,0,0,0
6/3/1900,9/3/2020,112559,39.683044,-75.7525,2,3,0,0,0,6,1,2,1,2,0,0,0,0,0
6/4/1900,9/3/2020,112607,39.682912,-75.7528,2,1,0,0,0,0,1,3,1,1,0,1,0,0,0
6/5/1900,9/3/2020,112731,39.683385,-75.7536,1,0,1,1,0,0,0,4,0,1,0,0,0,0,0
6/6/1900,9/3/2020,112731,39.683397,-75.7536,1,0,1,1,0,0,0,2,0,1,0,0,0,0,0
